"neighborhood","borough","population_2017","population_2020","pcinc_change","minc_change","traveltime_change","ur_change"
"Sunny Side","Queens",56920,42495,-0.108074347956431,-0.0607914835893958,0.0523415977961434,-0.228571428571429
"Sunset Park","Brooklyn",50162.5,38526,0.325078343825397,0.281510906844348,0.00815850815850819,-0.302752293577982
"The Rockaways","Queens",31176.5,32556.5,0.197676891615542,0.146470805320668,0.0127253446447508,-0.0804597701149425
"Todt Hill","Staten Island",26686,24999,0.0145846544071021,0.238246056025433,0.0024096385542169,-0.172413793103448
"Tremont","The Bronx",33134,22833,0.25385489368609,0.118572074107546,0.0586907449209933,-0.462809917355372
"Union Port","The Bronx",22508,31135,0.106517239638548,0.0177600663411038,0.0304347826086956,-0.574468085106383
"University Heights","The Bronx",41746,41078,0.135622773102873,0.16622760800843,0.0611764705882353,0.0285714285714286
"Upper East Side","Manhattan",49438,69626,-0.359118052061542,-0.246148562772008,0.171532846715329,-0.119047619047619
"Utopia","Queens",15726,19144,0.109497312081486,0.0685435887384676,0.0376940133037693,-0.314814814814815
"Wakefield-Williamsbridge","The Bronx",35865,39213,0.122796188418657,0.114147825630803,0.0719101123595506,-0.333333333333333
"West Village","Manhattan",61658,30426,0.1646513410661,0.137549856596958,0.0743801652892562,0.121212121212121
"Westerleigh-Castleton","Staten Island",19640,25396,0.160375317722135,0.268483224515983,0.0664893617021277,-0.428571428571429
"Whitestone","Queens",25359,23142,0.0891470733990419,0.102354286863507,0.108179419525066,0
"Williams Bridge","The Bronx",50582,47686,0.16135220614922,0.127748768110613,0.00655021834061145,-0.310679611650486
"Williamsburg","Brooklyn",25344.5,39464.3333333333,0.654217033066399,0.65784022453154,0.0696347031963459,-0.0789473684210526
"Woodhaven-Richmond Hill","Queens",52241,27041.6666666667,0.142580456275477,0.152856659770316,0.0435729847494553,-0.277777777777778
"Woodside","Queens",37798,39037,0.169765400574529,0.204797513838982,-0.02088772845953,-0.348837209302326
